from,to,relation
Oliver_Zipse,BMW,1
Harald_Krueger,BMW,1
Klaus_Froehlich,BMW,2
Ilka_Horstmeier,BMW,2
Milan_Nedeljkovic,BMW,2
Pieter_Nota,BMW,2
Nicolas_Peter,BMW,2
Andreas_Wendt,BMW,2
Elmar_Degenhart,Continental,1
HJ_Duensing,Continental,2
Frank_Jourdan,Continental,2
Christian_Koetz,Continental,2
Helmut_Matschi,Continental,2
Ariane_Reinhart,Continental,2
Wolfgang_Schaefer,Continental,2
Nikolai_Setzer,Continental,2
Dieter_Zetsche,Daimler,1
Ola_Kaellenius,Daimler,1
Martin_Daum,Daimler,2
Renata_Jungo_Bruengger,Daimler,2
Wilfried_Porth,Daimler,2
Markus_Schaefer,Daimler,2
Britta_Seeger,Daimler,2
Hubertus_Troska,Daimler,2
Harald_Wilhelm,Daimler,2
Herbert_Diess,Volkswagen,1
Oliver_Blume,Volkswagen,2
Markus_Duesmann,Volkswagen,2
Gunnar_Kilian,Volkswagen,2
Andreas_Renschler,Volkswagen,2
Stefan_Sommer,Volkswagen,2
Hiltrud_Dorothea_Werner,Volkswagen,2
Frank_Witter,Volkswagen,2
Martin_Brudermueller,BASF,1
Hans_Ulrich_Engel,BASF,2
Saori_Dubourg,BASF,2
Michael_Heinz,BASF,2
Markus_Kamieth,BASF,2
Wayne_T_Smith,BASF,2
Werner_Baumann,Bayer,1
Liam_Condon,Bayer,2
Wolfgang_Nickl,Bayer,2
Stefan_Oelrich,Bayer,2
Heiko_Schipper,Bayer,2
Markus_Steilemann,Covestro,1
Sucheta_Govil,Covestro,2
Thomas_Toepfer,Covestro,2
Klaus_Schaefer,Covestro,2
Rice_Powell,Fresenius_Medical_Care,1
Helen_Giza,Fresenius_Medical_Care,2
Franklin_W_Maddux,Fresenius_Medical_Care,2
Katarzyna_Mazur_Hofsaess,Fresenius_Medical_Care,2
Olaf_Schermeier,Fresenius_Medical_Care,2
William_Valle,Fresenius_Medical_Care,2
Kent_Wanzek,Fresenius_Medical_Care,2
Harry_de_Wit,Fresenius_Medical_Care,2
Stephan_Sturm,Fresenius,1
Francesco_De_Meo,Fresenius,2
Rachel_Empey,Fresenius,2
Juergen_Goetz,Fresenius,2
Mats_Henriksson,Fresenius,2
Rice_Powell,Fresenius,2
Ernst_Wastler,Fresenius,2
Stefan_Oschmann,Merck,1
Udit_Batra,Merck,2
Kai_Beckmann,Merck,2
Belen_Garijo,Merck,2
Marcus_Kuhnert,Merck,2
Kasper_Rorsted,adidas,1
Roland_Auschel,adidas,2
Brian_Grevy,adidas,2
Harm_Ohlmeyer,adidas,2
Karen_Parkin,adidas,2
Martin_Shankland,adidas,2
Stefan_de_Loecker,Beiersdorf,1
Thomas_Ingelfinger,Beiersdorf,2
Zhengrong_Liu,Beiersdorf,2
Ramon_A_Mirt,Beiersdorf,2
Asim_Naseer,Beiersdorf,2
Dessi_Temperley,Beiersdorf,2
Vincent_Warnery,Beiersdorf,2
Hans_Van_Bylen,Henkel,1
Carsten_Knobel,Henkel,2
Marco_Swoboda,Henkel,2
Sylvie_Nicol,Henkel,2
Jan_Dirk_Auris,Henkel,2
Jens_Martin_Schwaerzler,Henkel,2
Bruno_Piacenza,Henkel,2
Johannes_Teyssen,EON,1
Leonhard_Birnbaum,EON,2
Thomas_Koenig,EON,2
Marc_Spieker,EON,2
Karsten_Wildberger,EON,2
Rolf_Schmitz,RWE,1
Markus_Krebber,RWE,2
Fabio_de_Ferrari,Allianz,1
Katja_de_la_Vina,Allianz,2
Bernd_Heinemann,Allianz,2
Andreas_Kanning,Allianz,2
Nina_Klingspor,Allianz,2
Aylin_Somersan_Coqui,Allianz,2
Frank_Sommerfeld,Allianz,2
Andreas_Wimmer,Allianz,2
Christan_Sewing,Deutsche_Bank,1
Karl_von_Rohr,Deutsche_Bank,2
Fabrizio_Campelli,Deutsche_Bank,2
Frank_Kuhnke,Deutsche_Bank,2
Bernd_Leukert,Deutsche_Bank,2
Stuart_Lewis,Deutsche_Bank,2
James_von_Moltke,Deutsche_Bank,2
Christiana_Riley,Deutsche_Bank,2
Werner_Steinmueller,Deutsche_Bank,2
Theodor_Weimer,Deutsche_Boerse,1
Christoph_Boehm,Deutsche_Boerse,2
Thomas_Book,Deutsche_Boerse,2
Stephan_Leithner,Deutsche_Boerse,2
Gregor_Pottmeyer,Deutsche_Boerse,2
Hauke_Stars,Deutsche_Boerse,2
Joachim_Wenning,Munich_RE,1
Thomas_Blunck,Munich_RE,2
Nicholas_Gartside,Munich_RE,2
