id,label,type,dax,industry,age,sex,doctorate,heritage,europe,study
360_Treasury_Systems,360 Treasury Systems,3,0,5,NA,NA,NA,1,1,NA
3M,3M,3,0,8,NA,NA,NA,3,0,NA
Aarhus_School_of_Business,Aarhus School of Business,4,0,9,NA,NA,NA,12,1,NA
ABI,Italian Banking Association,5,0,5,NA,NA,NA,19,1,NA
Abott_Laboratories,Abbott Laboratories,3,0,2,NA,NA,NA,3,0,NA
acatech,Deutsche Akademie der Technikwissenschaften,4,0,8,NA,NA,NA,1,1,NA
Accenture,Accenture,3,0,12,NA,NA,NA,28,1,NA
ACEA,European Automobile Manufacturers Accociation,5,0,1,NA,NA,NA,14,1,NA
Achim_Kassow,Achim Kassow,2,1,5,54,1,1,1,1,1
Adaire_Fox_Martin,Adaire Fox-Martin,2,1,8,56,2,0,13,0,6
Adel_Al_Saleh,Adel Al-Saleh,2,1,8,57,1,0,3,0,3
adidas,adidas,3,1,3,NA,NA,NA,1,1,NA
Aerospace,Deutsche Aerospace,3,0,7,NA,NA,NA,1,1,NA
AGH_Krakau,Berg- und Hüttenakademie Krakau,4,0,9,NA,NA,NA,22,1,NA
AGV_Banken,Arbeitgeberverband des privaten Bankgewerbes,5,0,5,NA,NA,NA,1,1,NA
Airbus,Airbus,3,0,7,NA,NA,NA,4,1,NA
Akcansa,Akcansa,3,0,6,NA,NA,NA,20,1,NA
AkzoNobel,AkzoNobel,3,0,2,NA,NA,NA,4,1,NA
Alania_Stuttgart,Alania Stuttgart,7,0,9,NA,NA,NA,1,1,NA
Alcatel_Lucent,Alcatel-Lucent,3,0,8,NA,NA,NA,2,1,NA
Aldi_Sued,Aldi Süd,3,0,3,NA,NA,NA,1,1,NA
Alexander_von_Knoop,Alexander von Knoop,2,1,5,48,1,0,1,1,1
ALK,ALK,3,0,2,NA,NA,NA,12,1,NA
Allergy_Therapeutics,Allergy Therapeutics,3,0,2,NA,NA,NA,2,1,NA
Allfonds_International_Asset_Management,Allfonds International Asset Management,3,0,5,NA,NA,NA,1,1,NA
Allianz,Allianz,3,1,5,NA,NA,NA,1,1,NA
AmCham,American Chamber of Commerce in Germany,5,0,11,NA,NA,NA,1,1,NA
Ampirion,Ampirion,3,0,4,NA,NA,NA,1,1,NA
Analytab_Products,Analytab Products,3,0,2,NA,NA,NA,3,0,NA
Andreas_Kanning,Andreas Kanning,2,1,5,56,1,0,1,1,1
Andreas_Opfermann,Andreas Opfermann,2,1,6,NA,1,0,1,1,4
Andreas_Renschler,Andreas Renschler,2,1,1,62,1,0,1,1,3
Andreas_Wendt,Andreas Wendt,2,1,1,61,1,1,1,1,3
